set,sim,winner,az,ga,mi,nv,nc,pa,wi
25,5,republican,democrat,republican,republican,republican,republican,republican,republican

25,4,republican,republican,republican,republican,republican,republican,republican,republican

25,3,republican,republican,republican,republican,republican,republican,republican,republican

25,2,democrat,democrat,democrat,democrat,democrat,republican,democrat,democrat

25,1,republican,republican,democrat,republican,republican,republican,republican,republican

24,5,republican,republican,republican,democrat,republican,republican,republican,republican

24,4,republican,republican,republican,democrat,republican,republican,republican,democrat

24,3,republican,republican,republican,republican,republican,republican,republican,republican

24,2,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat

24,1,republican,republican,republican,republican,republican,republican,republican,republican


23,5,republican,republican,republican,republican,republican,democrat,democrat,republican
23,4,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
23,3,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
23,2,republican,republican,republican,democrat,republican,republican,democrat,republican
23,1,republican,republican,republican,republican,republican,republican,republican,republican

22,1,democrat,republican,democrat,democrat,republican,democrat,democrat,democrat
22,2,democrat,democrat,republican,democrat,democrat,republican,democrat,democrat
22,3,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
22,4,republican,republican,republican,republican,republican,republican,republican,republican
22,5,republican,republican,republican,republican,democrat,democrat,republican,republican

21,1,democrat,democrat,republican,democrat,democrat,republican,republican,democrat
21,2,republican,republican,republican,democrat,republican,republican,democrat,republican
21,3,democrat,democrat,republican,democrat,democrat,republican,democrat,democrat
21,4,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
21,5,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat

20,1,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
20,2,democrat,democrat,republican,democrat,democrat,republican,democrat,democrat
20,3,republican,republican,republican,republican,republican,republican,republican,republican
20,4,republican,republican,republican,democrat,democrat,democrat,republican,republican
20,5,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat

19,1,republican,republican,republican,democrat,democrat,republican,democrat,republican
19,2,republican,democrat,republican,republican,republican,republican,republican,republican
19,3,republican,democrat,republican,democrat,republican,republican,republican,democrat
19,4,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
19,5,republican,republican,republican,republican,democrat,republican,republican,republican

18,1,republican,republican,republican,republican,republican,republican,republican,republican
18,2,democrat,republican,democrat,democrat,democrat,democrat,democrat,democrat
18,3,republican,republican,republican,republican,republican,republican,republican,republican
18,4,republican,republican,republican,republican,democrat,democrat,republican,republican
18,5,democrat,democrat,democrat,democrat,republican,democrat,republican,democrat

17,1,republican,republican,democrat,republican,republican,republican,republican,republican
17,2,republican,republican,republican,republican,republican,republican,republican,republican
17,3,republican,republican,republican,democrat,republican,republican,republican,republican
17,4,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
17,5,democrat,republican,republican,democrat,democrat,democrat,democrat,democrat

16,1,republican,republican,republican,republican,republican,republican,republican,republican
16,2,democrat,republican,democrat,democrat,democrat,democrat,democrat,democrat
16,3,democrat,republican,democrat,democrat,republican,democrat,republican,democrat
16,4,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
16,5,republican,democrat,republican,republican,republican,republican,republican,republican

15,1,republican,republican,republican,republican,republican,republican,democrat,democrat
15,2,republican,republican,republican,republican,republican,republican,republican,republican
15,3,democrat,republican,republican,democrat,republican,republican,democrat,democrat
15,4,republican,republican,republican,republican,republican,republican,republican,republican
15,5,republican,republican,republican,democrat,democrat,republican,republican,democrat

14,1,democrat,republican,republican,democrat,republican,republican,democrat,democrat
14,2,republican,republican,republican,republican,republican,republican,republican,republican
14,3,republican,republican,republican,republican,republican,republican,republican,democrat
14,4,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
14,5,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat

13,1,democrat,republican,republican,democrat,democrat,republican,democrat,democrat
13,2,republican,republican,republican,democrat,republican,republican,republican,republican
13,3,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
13,4,democrat,republican,republican,democrat,democrat,democrat,republican,democrat
13,5,republican,democrat,democrat,republican,republican,republican,republican,republican

12,1,republican,democrat,republican,republican,republican,republican,republican,republican
12,2,democrat,republican,republican,democrat,democrat,democrat,democrat,democrat
12,3,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
12,4,democrat,democrat,republican,democrat,democrat,democrat,democrat,democrat
12,5,republican,republican,republican,republican,republican,republican,republican,republican

11,1,republican,republican,republican,republican,republican,republican,republican,republican
11,2,republican,republican,republican,republican,democrat,republican,republican,republican
11,3,republican,republican,democrat,republican,republican,republican,republican,republican
11,4,democrat,republican,republican,democrat,democrat,republican,democrat,democrat
11,5,democrat,democrat,republican,democrat,democrat,republican,democrat,democrat

10,1,republican,republican,republican,republican,republican,republican,republican,republican
10,2,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
10,3,republican,republican,republican,republican,democrat,republican,republican,republican
10,4,republican,republican,democrat,democrat,republican,republican,republican,democrat
10,5,republican,republican,republican,republican,democrat,republican,republican,republican

9,1,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
9,2,democrat,republican,republican,democrat,republican,democrat,democrat,democrat
9,3,republican,republican,republican,republican,republican,republican,democrat,republican
9,4,republican,republican,republican,republican,republican,republican,republican,republican
9,5,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
9,6,democrat,republican,democrat,democrat,republican,democrat,democrat,republican
9,7,republican,republican,republican,democrat,republican,democrat,republican,republican
9,8,republican,republican,republican,republican,republican,republican,republican,republican
9,9,republican,republican,republican,democrat,republican,republican,republican,republican
9,10,democrat,democrat,republican,democrat,democrat,republican,republican,democrat

8,1,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat

7,1,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat

6,1,republican,democrat,republican,republican,democrat,republican,republican,democrat
6,2,republican,republican,democrat,democrat,republican,republican,democrat,republican
6,3,democrat,republican,democrat,democrat,democrat,republican,democrat,republican
6,4,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
6,5,republican,republican,republican,republican,democrat,republican,republican,republican
6,6,republican,republican,republican,democrat,republican,democrat,democrat,republican
6,7,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
6,8,republican,republican,republican,republican,republican,republican,republican,republican
6,9,democrat,democrat,republican,democrat,democrat,republican,republican,democrat
6,10,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat

5,1,republican,republican,republican,republican,republican,republican,republican,republican
5,2,republican,republican,republican,republican,republican,republican,republican,republican
5,3,democrat,democrat,republican,democrat,democrat,republican,democrat,democrat
5,4,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
5,5,democrat,democrat,democrat,democrat,democrat,republican,republican,democrat
5,6,democrat,republican,republican,democrat,democrat,democrat,democrat,democrat
5,7,republican,republican,democrat,republican,democrat,republican,republican,republican
5,8,republican,republican,democrat,republican,republican,republican,republican,republican
5,9,democrat,republican,democrat,democrat,democrat,democrat,democrat,democrat
5,10,republican,republican,republican,republican,republican,republican,republican,republican

4,1,republican,republican,republican,republican,republican,republican,republican,republican

3,1,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
3,2,democrat,republican,republican,democrat,democrat,democrat,democrat,democrat
3,3,republican,republican,republican,republican,republican,republican,republican,republican
3,4,republican,republican,republican,republican,democrat,republican,democrat,republican
3,5,republican,republican,republican,republican,republican,republican,republican,republican
3,6,republican,republican,republican,republican,republican,republican,republican,republican
3,7,republican,democrat,republican,democrat,republican,republican,democrat,republican
3,8,republican,republican,republican,republican,republican,republican,republican,republican
3,9,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
3,10,republican,democrat,republican,republican,republican,republican,republican,republican

2,1,democrat,republican,republican,democrat,democrat,republican,democrat,democrat
2,2,democrat,democrat,republican,democrat,democrat,democrat,republican,republican
2,3,democrat,democrat,democrat,republican,republican,democrat,democrat,democrat
2,4,republican,republican,republican,republican,republican,republican,republican,republican
2,5,democrat,democrat,republican,democrat,democrat,democrat,republican,democrat
2,6,republican,republican,republican,republican,democrat,republican,republican,republican
2,7,republican,republican,republican,republican,republican,republican,republican,republican
2,8,republican,republican,republican,democrat,republican,republican,democrat,democrat
