set,sim,az,ga,mi,nv,nc,pa,wi
1,1,trump,harris,trump,harris,harris,trump,trump
1,2,trump,trump,trump,harris,trump,trump,trump
1,3,harris,harris,harris,harris,harris,harris,harris
1,4,trump,trump,harris,trump,trump,trump,harris
1,5,trump,harris,harris,trump,trump,harris,harris
1,6,harris,harris,harris,harris,trump,trump,trump
1,7,harris,harris,harris,harris,harris,harris,harris
1,8,trump,trump,trump,harris,trump,harris,trump
1,9,harris,trump,harris,harris,trump,trump,harris
1,10,harris,trump,trump,harris,trump,trump,trump
